Bici,Ciclo_Estacion_Retiro,Duracion_Recorrido,dia_semana,hora_inicio,mes
3955838,644.0,2.8333333333333335,3,15,7
7180250,701.0,5.933333333333334,1,19,7
2222016,194.0,89.38333333333334,2,16,7
7767114,131.0,65.71666666666667,6,12,7
6383244,710.0,38.31666666666667,2,14,7
5405741,45.0,15.033333333333333,2,13,7
8868135,68.0,60.03333333333333,1,13,7
4003380,230.0,65.91666666666667,0,18,7
3597820,270.0,9.733333333333333,0,9,7
3749652,160.0,74.7,3,17,7
2881852,436.0,7.95,0,19,7
4583050,615.0,8.483333333333333,5,12,7
2615748,78.0,26.55,5,22,7
7955321,1.0,71.43333333333334,1,17,7
3277258,639.0,83.96666666666667,1,15,7
6288401,494.0,6.566666666666666,3,9,7
7278658,619.0,31.233333333333334,2,8,7
8277634,18.0,61.5,6,12,7
4595591,188.0,10.333333333333334,2,23,7
8344798,513.0,72.35,3,15,7
4564704,699.0,70.23333333333333,2,15,7
6986632,668.0,8.183333333333334,6,12,7
2642452,413.0,5.566666666666666,4,18,7
5218094,53.0,7.65,4,7,7
2989945,186.0,80.18333333333334,5,14,7
2561397,43.0,114.25,6,13,7
4882148,211.0,7.0,0,16,7
3963550,41.0,13.116666666666667,1,10,7
6849202,608.0,7.566666666666666,0,10,7
3016383,27.0,17.083333333333332,1,21,7
2829513,563.0,17.566666666666666,5,11,7
6277123,18.0,96.28333333333333,6,8,7
2642452,519.0,5.933333333333334,5,15,7
4794301,560.0,56.53333333333333,6,10,7
2240679,207.0,9.25,2,9,7
7940182,80.0,31.0,2,19,7
3779279,127.0,4.483333333333333,4,13,7
8202970,58.0,20.966666666666665,2,11,7
3636016,476.0,21.933333333333334,4,11,7
6604102,137.0,515316.81666666665,0,13,7
4852638,265.0,39.38333333333333,2,11,7
4110987,208.0,5.016666666666667,1,7,7
6009724,359.0,64.6,0,19,7
6047971,54.0,13.0,1,15,7
3076726,644.0,37.31666666666667,6,9,7
2293371,710.0,67.6,1,12,7
7910524,263.0,16.0,1,8,7
5657812,592.0,10.133333333333333,3,22,7
4589677,88.0,22.966666666666665,1,17,7
4717120,65.0,14.866666666666667,5,17,7
6846117,615.0,6.45,2,16,7
8165425,221.0,103.95,6,10,7
7191752,128.0,19.9,5,8,7
4521548,18.0,67.96666666666667,4,13,7
3567534,29.0,79.86666666666666,6,12,7
6383285,89.0,19.866666666666667,2,14,7
7553134,32.0,16.283333333333335,3,18,7
5709837,20.0,47.06666666666667,6,9,7
3081643,460.0,28.95,3,17,7
8256323,463.0,16.066666666666666,0,15,7
5584560,171.0,2.8666666666666667,2,8,7
5810098,370.0,19.933333333333334,2,8,7
7347883,100.0,1.35,6,8,7
3364023,640.0,17.233333333333334,1,10,7
6283766,464.0,102.28333333333333,5,9,7
2589034,184.0,4.933333333333334,2,22,7
2148674,491.0,13.833333333333334,1,18,7
7630320,121.0,4.966666666666667,4,8,7
2304301,15.0,15.8,4,15,7
5535844,99.0,4.916666666666667,6,15,7
5288881,221.0,19.9,0,6,7
5370200,180.0,5.7,0,17,7
8630154,493.0,15.483333333333333,0,7,7
5183710,619.0,83.08333333333333,6,9,7
6029771,19.0,80.81666666666666,6,10,7
3347085,127.0,28.35,6,9,7
4724290,575.0,11644.816666666668,0,6,6
4994620,563.0,18.016666666666666,3,7,7
5557582,150.0,12.8,5,13,7
2706091,154.0,15.833333333333334,1,9,7
8952236,127.0,15.383333333333333,0,12,7
8518391,195.0,19.833333333333332,6,12,7
7701410,32.0,100.75,6,12,7
6650626,189.0,66.91666666666667,5,7,7
4584165,44.0,2.25,4,16,7
4202818,594.0,18.283333333333335,4,20,7
6341861,48.0,10.85,2,12,7
6453807,53.0,116.66666666666667,6,10,7
7188246,194.0,85.78333333333333,6,12,7
5827597,38.0,6.166666666666667,2,12,7
2482214,378.0,60.11666666666667,2,21,7
8014045,124.0,6.366666666666666,3,17,7
3499332,555.0,4.2,0,11,7
6977052,632.0,9.116666666666667,0,16,7
8003600,163.0,7.4,3,17,7
4781332,567.0,42.2,3,14,7
3271806,114.0,8.4,3,12,7
3612157,686.0,62.35,3,18,7
6538557,174.0,11.683333333333334,3,18,7
7207137,522.0,46.3,6,14,7
5958350,598.0,6.666666666666667,1,19,7
3107117,371.0,10.466666666666667,1,17,7
4233235,555.0,12.633333333333333,3,15,7
7107832,688.0,21.016666666666666,0,21,7
3616380,288.0,6.816666666666666,6,17,7
6931067,689.0,16.65,5,10,7
2716710,471.0,12.266666666666667,0,7,7
5767140,40.0,4.966666666666667,1,9,7
3821428,593.0,19.65,2,17,7
6661136,281.0,33.9,2,9,7
3405461,401.0,3339.6666666666665,5,11,7
7358773,469.0,15.283333333333333,4,23,7
4544946,560.0,14.466666666666667,2,8,7
6448351,374.0,11.033333333333333,4,22,7
4467304,627.0,136.83333333333334,1,6,7
2984060,693.0,21.633333333333333,5,9,7
7868540,113.0,65.98333333333333,6,11,7
8431413,490.0,8.4,4,9,7
4183216,149.0,11.05,0,10,7
5073655,20.0,6.9,3,18,7
7543390,18.0,15.683333333333334,6,12,7
2132454,683.0,6.1,2,12,7
3843745,474.0,8.383333333333333,1,15,7
8232506,176.0,14.7,1,7,7
6187454,13.0,189.96666666666667,6,10,7
5735162,96.0,10.3,3,8,7
6551733,81.0,5.483333333333333,1,21,7
5972161,710.0,62.416666666666664,0,15,7
3871787,104.0,14.85,4,13,7
6738009,4.0,13.366666666666667,3,18,7
5811617,195.0,74.03333333333333,4,13,7
5810650,111.0,100.85,0,6,7
3080736,12.0,7.916666666666667,5,16,7
4096111,481.0,10.45,3,18,7
2783389,225.0,64.93333333333334,3,11,7
3321908,228.0,71.76666666666667,4,18,7
7205859,5.0,13.816666666666666,4,13,7
4139655,385.0,6.0,3,8,7
5810650,194.0,67.36666666666666,4,8,7
3612157,494.0,66.36666666666666,1,7,7
3278702,513.0,61.0,6,15,7
6081798,34.0,74.31666666666666,6,15,7
8952236,618.0,9.833333333333334,0,21,7
8821274,484.0,4.466666666666667,3,6,7
6521637,231.0,31.8,1,18,7
8391674,357.0,10.933333333333334,4,18,7
5936463,30.0,174.83333333333334,6,11,7
7160443,432.0,13.783333333333333,3,9,7
8502320,46.0,11.716666666666667,1,19,7
2696144,303.0,68.73333333333333,0,17,7
2710135,175.0,66.18333333333334,2,14,7
5616529,548.0,21.933333333333334,0,7,7
2956308,217.0,21.65,0,22,7
6611925,307.0,5.966666666666667,3,12,7
6087712,586.0,15.483333333333333,0,9,7
5083266,161.0,94.03333333333333,1,16,7
6595276,56.0,62.983333333333334,0,16,7
4526281,169.0,79.48333333333333,6,13,7
8415416,152.0,7.183333333333334,1,19,7
6377527,386.0,12.4,3,14,7
7461650,399.0,4.066666666666666,6,14,7
3781457,43.0,27.35,3,18,7
8030371,509.0,123.91666666666667,6,18,7
5238001,84.0,18.566666666666666,5,17,7
5293584,34.0,32.78333333333333,2,19,7
4840286,99.0,12.233333333333333,2,8,7
2053981,552.0,5.216666666666667,6,13,7
8250375,52.0,135.83333333333334,6,10,7
8427429,182.0,3.65,1,10,7
2485811,187.0,63.53333333333333,6,15,7
3862356,318.0,13.833333333333334,3,18,7
5214762,71.0,4.4,1,6,7
6146468,154.0,63.71666666666667,2,15,7
3998580,62.0,2.6666666666666665,2,18,7
3120342,43.0,18.016666666666666,6,15,7
2467744,481.0,8.933333333333334,5,17,7
4887139,78.0,15.116666666666667,2,17,7
