Ciclo_EstacionArribo,Viaje_atipico,dia_semana,hora_inicio,is_Entre Semana
644.0,0,3,15,True
701.0,0,1,19,True
194.0,1,2,16,True
131.0,1,6,12,False
710.0,0,2,14,True
45.0,0,2,13,True
68.0,1,1,13,True
230.0,1,0,18,True
270.0,0,0,9,True
160.0,1,3,17,True
436.0,0,0,19,True
615.0,0,5,12,False
78.0,0,5,22,False
1.0,1,1,17,True
639.0,1,1,15,True
494.0,0,3,9,True
619.0,0,2,8,True
18.0,1,6,12,False
188.0,0,2,23,True
513.0,1,3,15,True
699.0,1,2,15,True
668.0,0,6,12,False
413.0,0,4,18,True
53.0,0,4,7,True
186.0,1,5,14,False
43.0,1,6,13,False
211.0,0,0,16,True
41.0,0,1,10,True
608.0,0,0,10,True
27.0,0,1,21,True
563.0,0,5,11,False
18.0,1,6,8,False
519.0,0,5,15,False
560.0,0,6,10,False
207.0,0,2,9,True
80.0,0,2,19,True
127.0,0,4,13,True
58.0,0,2,11,True
476.0,0,4,11,True
137.0,1,0,13,True
265.0,0,2,11,True
208.0,0,1,7,True
359.0,1,0,19,True
54.0,0,1,15,True
644.0,0,6,9,False
710.0,1,1,12,True
263.0,0,1,8,True
592.0,0,3,22,True
88.0,0,1,17,True
65.0,0,5,17,False
615.0,0,2,16,True
221.0,1,6,10,False
128.0,0,5,8,False
18.0,1,4,13,True
29.0,1,6,12,False
89.0,0,2,14,True
32.0,0,3,18,True
20.0,0,6,9,False
460.0,0,3,17,True
463.0,0,0,15,True
171.0,0,2,8,True
370.0,0,2,8,True
100.0,0,6,8,False
640.0,0,1,10,True
464.0,1,5,9,False
184.0,0,2,22,True
491.0,0,1,18,True
121.0,0,4,8,True
15.0,0,4,15,True
99.0,0,6,15,False
221.0,0,0,6,True
180.0,0,0,17,True
493.0,0,0,7,True
619.0,1,6,9,False
19.0,1,6,10,False
127.0,0,6,9,False
575.0,1,0,6,True
563.0,0,3,7,True
150.0,0,5,13,False
154.0,0,1,9,True
127.0,0,0,12,True
195.0,0,6,12,False
32.0,1,6,12,False
189.0,1,5,7,False
44.0,0,4,16,True
594.0,0,4,20,True
48.0,0,2,12,True
53.0,1,6,10,False
194.0,1,6,12,False
38.0,0,2,12,True
378.0,1,2,21,True
124.0,0,3,17,True
555.0,0,0,11,True
632.0,0,0,16,True
163.0,0,3,17,True
567.0,0,3,14,True
114.0,0,3,12,True
686.0,1,3,18,True
174.0,0,3,18,True
522.0,0,6,14,False
598.0,0,1,19,True
371.0,0,1,17,True
555.0,0,3,15,True
688.0,0,0,21,True
288.0,0,6,17,False
689.0,0,5,10,False
471.0,0,0,7,True
40.0,0,1,9,True
593.0,0,2,17,True
281.0,0,2,9,True
401.0,1,5,11,False
469.0,0,4,23,True
560.0,0,2,8,True
374.0,0,4,22,True
627.0,1,1,6,True
693.0,0,5,9,False
113.0,1,6,11,False
490.0,0,4,9,True
149.0,0,0,10,True
20.0,0,3,18,True
18.0,0,6,12,False
683.0,0,2,12,True
474.0,0,1,15,True
176.0,0,1,7,True
13.0,1,6,10,False
96.0,0,3,8,True
81.0,0,1,21,True
710.0,1,0,15,True
104.0,0,4,13,True
4.0,0,3,18,True
195.0,1,4,13,True
111.0,1,0,6,True
12.0,0,5,16,False
481.0,0,3,18,True
225.0,1,3,11,True
228.0,1,4,18,True
5.0,0,4,13,True
385.0,0,3,8,True
194.0,1,4,8,True
494.0,1,1,7,True
513.0,1,6,15,False
34.0,1,6,15,False
618.0,0,0,21,True
484.0,0,3,6,True
231.0,0,1,18,True
357.0,0,4,18,True
30.0,1,6,11,False
432.0,0,3,9,True
46.0,0,1,19,True
303.0,1,0,17,True
175.0,1,2,14,True
548.0,0,0,7,True
217.0,0,0,22,True
307.0,0,3,12,True
586.0,0,0,9,True
161.0,1,1,16,True
56.0,1,0,16,True
169.0,1,6,13,False
152.0,0,1,19,True
386.0,0,3,14,True
399.0,0,6,14,False
43.0,0,3,18,True
509.0,1,6,18,False
84.0,0,5,17,False
34.0,0,2,19,True
99.0,0,2,8,True
552.0,0,6,13,False
52.0,1,6,10,False
182.0,0,1,10,True
187.0,1,6,15,False
318.0,0,3,18,True
71.0,0,1,6,True
154.0,1,2,15,True
